Team,"Player
Ratings",Level,Region,Category,Arm,Batting_Pos,Bowling_Style,"Matches
 Played",Runs,Wickets,Strike Rate,Players,Price(RS),Age,Birth_Date,Country
DC,7,Uncapped,Domestic,All_Rounder,Right,Tailender,Spinner,3,9,0,110,Pravin Dubey,5.00M,24,1999-04-11,India
DC,7,Uncapped,Domestic,Batter,Right,Middle,Can't Bowl,0,0,0,100,Ashwin Hebbar,2.00M,40,1984-02-03,India
DC,8,Uncapped,Domestic,Batter,Right,Middle,Can't Bowl,40,441,0,146,Sarfaraz Khan,2.00M,28,1995-08-16,India
DC,7,Uncapped,Domestic,Bowler,Right,Tailender,Spinner,0,0,0,100,Vicky Ostwal,2.00M,30,1993-07-07,India
DC,7,Uncapped,Domestic,All_Rounder,Right,Tailender,Seamer,2,25,0,100,Ripal Patel,2.00M,27,1997-01-22,India
GT,9,Capped,Domestic,All_Rounder,Right,Middle,Seamer,92,1476,42,160,Hardik Pandya,150.00M,28,1995-09-20,India
GT,10,Capped,Overseas,All_Rounder,Right,Tailender,Spinner,69,222,93,137,Rashid Khan,150.00M,30,1993-12-04,Afghanistan
GT,9.5,Capped,Overseas,Bowler,Right,Tailender,Seamer,22,100,25,151,Lokie Ferguson,100.00M,33,1991-01-01,New Zealand
GT,10,Capped,Domestic,All_Rounder,Left,Middle,Spinner,48,521,32,140,Rahul Tewatia,90.00M,35,1988-11-04,India
GT,10,Capped,Domestic,Wicket_Keeper,Right,Opener,Can't Bowl,56,1420,0,123,S Gill,80.00M,24,1999-07-22,India
GT,9..5,Capped,Domestic,Bowler,Right,Tailender,Seamer,77,20,79,144,Md Shami,62.50M,32,1992-01-18,India
GT,7,Uncapped,Domestic,Bowler,Right,Tailender,Seamer,0,0,0,100,Yash Dayal,32.00M,23,2000-07-04,India
GT,9,Capped,Overseas,Batter,Left,Middle,Can't Bowl,90,2000,0,145,David Millar,30.00M,38,1986-01-31,Australia
GT,7,Uncapped,Domestic,Bowler,Left,Tailender,Seamer,25,367,7,143,R. Sai Kishore,30.00M,24,1999-08-18,India
GT,7,Uncapped,Domestic,Batter,Right,Middle,Can't Bowl,0,0,0,100,Abhinav Sadarangani,26.00M,27,1996-09-16,India
GT,8.5,Capped,Overseas,Wicket_Keeper,Left,Middle,Can't Bowl,66,790,0,154,Mathew Wade,24.00M,33,1991-02-17,Australia
GT,9,Capped,Overseas,Bowler,Right,Tailender,Seamer,3,10,6,133,Alzarri Joseph,24.00M,27,1996-04-26,West Indies
